Gender,true_emotion,pred_emotion,true_EmoAct,true_EmoVal,pred_EmoAct,pred_EmoVal
Female,neutral,happy,0.375,0.625,0.5898342,0.6009102
Male,angry,happy,0.375,0.375,0.5647718,0.5561362
Female,neutral,happy,0.375,0.625,0.7916822,0.8192237
Male,angry,neutral,0.625,0.5,0.45607665,0.55092615
Female,angry,sad,0.25,0.125,0.43892807,0.3622732
Male,angry,angry,0.625,0.375,0.6970564,0.23735432
Female,angry,contempt,0.375,0.375,0.38885537,0.32008544
Female,neutral,happy,0.5,0.375,0.60473907,0.41396654
Female,neutral,neutral,0.375,0.5,0.6672187,0.45851135
Female,angry,angry,0.83333325,0.16666675,0.8459895,0.17210127
Male,neutral,neutral,0.25,0.75,0.5467287,0.5682751
Female,angry,happy,0.875,0.125,0.87795967,0.55983746
Female,happy,surprise,0.375,0.75,0.71977156,0.59554785
Male,happy,angry,0.375,0.625,0.54489803,0.35522878
Female,happy,happy,1.0,1.0,0.85061276,0.7784912
Female,neutral,angry,0.5,0.375,0.6223678,0.44138587
Male,neutral,surprise,0.625,0.625,0.7849354,0.53528076
Male,surprise,surprise,0.5,0.75,0.5488427,0.63983005
Female,happy,happy,0.625,0.875,0.86015004,0.7652772
Female,happy,happy,0.625,0.875,0.85955536,0.70566314
Female,neutral,neutral,0.5,0.5,0.50515205,0.48804295
Male,angry,angry,0.75,0.125,0.7112808,0.33374783
Male,neutral,sad,0.25,0.5,0.2629322,0.4346726
Male,happy,happy,0.375,0.375,0.6563039,0.6622318
Female,angry,neutral,0.5,0.25,0.6285196,0.4783977
Female,neutral,contempt,0.25,0.5,0.6837348,0.46969974
Male,sad,sad,0.25,0.375,0.4951453,0.45585644
Female,sad,sad,0.375,0.25,0.6446128,0.4180394
Female,angry,angry,0.875,0.125,0.8552337,0.17033376
Male,happy,happy,0.5,0.75,0.53330517,0.47941872
Male,neutral,happy,0.5,0.625,0.6691571,0.69605285
Male,neutral,happy,0.625,0.5,0.8090654,0.7885393
Female,happy,happy,0.625,0.75,0.78271097,0.8131332
Female,neutral,sad,0.25,0.5,0.3801306,0.46665883
Male,surprise,happy,0.5,0.75,0.57373434,0.4999224
Male,neutral,sad,0.375,0.5,0.4563966,0.41996953
Male,neutral,happy,0.375,0.625,0.5330277,0.8029838
Female,happy,happy,0.75,0.75,0.7428308,0.7319013
Female,sad,neutral,0.375,0.25,0.51285124,0.6445977
Male,neutral,neutral,0.25,0.375,0.44516465,0.57045764
Female,happy,happy,0.625,0.25,0.7140277,0.7433861
Female,sad,sad,0.25,0.25,0.3015663,0.34948382
Female,neutral,neutral,0.25,0.5,0.5469057,0.5760016
Male,happy,happy,0.5,0.625,0.5212873,0.75255066
Male,happy,happy,0.5,0.625,0.7684757,0.81400555
Male,neutral,neutral,0.375,0.25,0.42240843,0.51889443
Male,neutral,surprise,0.375,0.5,0.6065655,0.55908054
Female,sad,sad,0.625,0.25,0.31381956,0.21325779
Female,sad,happy,0.375,0.5,0.6104754,0.6625488
Female,happy,neutral,0.5,0.75,0.645484,0.5615373
Female,sad,neutral,0.375,0.5,0.36830768,0.59453297
Male,happy,happy,0.5,0.625,0.54925483,0.7464897
Female,happy,happy,0.5,0.75,0.83387333,0.7721808
Male,neutral,happy,0.33333325,0.5,0.57223827,0.53440887
Male,happy,neutral,0.375,0.625,0.63422006,0.63742167
Female,happy,happy,0.75,0.375,0.778043,0.7717195
Female,sad,happy,0.75,0.75,0.543232,0.7063052
Female,neutral,sad,0.66666675,0.91666675,0.3926778,0.47528622
Female,sad,sad,0.5,0.25,0.3202841,0.3359113
Female,neutral,happy,0.625,0.75,0.7287669,0.6449462
Male,neutral,happy,0.625,0.75,0.6581586,0.6337244
Male,neutral,neutral,0.5,0.75,0.5301817,0.5544348
Female,sad,angry,0.5,0.25,0.7040496,0.27110046
Female,angry,angry,0.5,0.33333325,0.54530275,0.23068438
Female,neutral,sad,0.25,0.25,0.32618576,0.43285143
Male,angry,angry,0.75,0.125,0.68316305,0.32431552
Male,happy,happy,0.625,0.75,0.6220833,0.60958165
Male,happy,happy,0.5,0.75,0.6706809,0.7872094
Male,neutral,angry,0.375,0.5,0.5744496,0.2421955
Female,happy,angry,0.375,0.5,0.48191634,0.44261783
Female,angry,angry,0.75,0.16666675,0.7293837,0.18766388
Male,happy,happy,0.625,0.75,0.64559555,0.6662197
Male,neutral,neutral,0.5,0.375,0.48074484,0.4793944
Male,happy,happy,0.375,0.625,0.6146943,0.6451548
Male,angry,angry,0.75,0.125,0.8374616,0.16712958
Female,angry,angry,0.41666675,0.41666675,0.48156777,0.29932052
Female,angry,angry,0.375,0.125,0.68562835,0.3414309
Female,happy,neutral,0.375,0.75,0.57250047,0.63067454
Male,sad,sad,0.25,0.375,0.3432919,0.4616465
Male,happy,angry,0.625,0.5,0.7988282,0.45274314
Female,happy,happy,0.75,0.75,0.57340914,0.6533403
Female,happy,happy,0.5,0.75,0.7222918,0.57944876
Female,happy,happy,0.75,0.625,0.8401937,0.82213575
Male,happy,happy,0.75,0.75,0.7876348,0.77394855
Female,sad,sad,0.375,0.375,0.4045439,0.33765936
Female,sad,happy,0.375,0.25,0.6627534,0.74407214
Female,happy,surprise,0.375,0.625,0.4191557,0.6322768
Female,happy,happy,0.875,0.875,0.76151645,0.82430387
Female,happy,happy,0.5,0.625,0.68369555,0.5920429
Male,happy,happy,0.375,0.375,0.48024705,0.66191214
Male,happy,happy,0.5,0.25,0.64280546,0.610543
Female,neutral,angry,0.41666675,0.58333325,0.5124342,0.3001528
Female,angry,angry,0.5,0.25,0.7328809,0.47246167
Male,neutral,happy,0.375,0.375,0.7081736,0.5884171
Female,sad,neutral,0.375,0.5,0.46447203,0.43556386
Male,happy,angry,0.5,0.5,0.6305592,0.48829782
Male,angry,happy,0.5,0.375,0.59918964,0.38493994
Female,angry,angry,0.875,0.125,0.8483396,0.23765025
Male,happy,happy,0.625,0.75,0.7888367,0.7315653
Female,neutral,neutral,0.25,0.375,0.38688794,0.51031226
Male,neutral,neutral,0.5,0.5,0.36379108,0.44376484
Female,angry,angry,0.625,0.25,0.8153324,0.18200435
Female,angry,angry,0.625,0.125,0.699388,0.25509238
Male,happy,happy,0.375,0.375,0.6172736,0.6578538
Male,neutral,happy,0.5,0.375,0.6783408,0.61842996
Male,happy,happy,0.625,0.75,0.72955966,0.79022604
Male,happy,angry,0.5,0.625,0.6405233,0.4326243
Female,happy,happy,0.625,0.5,0.7960355,0.68510234
Male,neutral,happy,0.5,0.5,0.45249572,0.6557402
Male,neutral,neutral,0.375,0.5,0.54430294,0.4642901
Male,sad,sad,0.625,0.25,0.6253597,0.49720678
Female,sad,sad,0.125,0.125,0.27604824,0.4217003
Female,neutral,sad,0.375,0.5,0.2933532,0.4117443
Male,angry,happy,0.625,0.25,0.8259795,0.76772106
Male,surprise,neutral,0.625,0.5,0.4417982,0.4747004
Male,neutral,neutral,0.375,0.625,0.4075877,0.5228962
Female,angry,angry,0.375,0.25,0.5373835,0.21560289
Female,angry,angry,0.41666675,0.25,0.74757975,0.27319443
Male,happy,happy,0.625,0.25,0.6437551,0.4247323
Male,happy,neutral,0.375,0.625,0.3918693,0.55927604
Male,happy,neutral,0.5,0.625,0.33440903,0.5208081
Male,happy,happy,0.5,0.875,0.51522446,0.6391045
Female,angry,angry,0.5,0.33333325,0.6284449,0.18649957
Male,angry,happy,0.375,0.5,0.53216493,0.70072657
Male,neutral,neutral,0.5,0.5,0.6420652,0.61035246
Male,happy,happy,0.75,0.25,0.7245906,0.34017444
Male,neutral,happy,0.5,0.625,0.6466988,0.69263047
Female,happy,surprise,0.5,0.875,0.66633266,0.6070237
Female,sad,sad,0.25,0.375,0.43321022,0.34389913
Female,happy,happy,0.625,0.75,0.7236032,0.7644839
Male,neutral,neutral,0.375,0.5,0.48473647,0.57837766
Female,happy,surprise,0.625,0.75,0.8106527,0.5705974
Male,neutral,contempt,0.5,0.5,0.56552,0.41872302
Male,happy,happy,0.5,0.375,0.6140362,0.60301733
Male,neutral,surprise,0.25,0.375,0.66942865,0.5584962
Female,angry,angry,0.875,0.125,0.8775885,0.25045374
Female,happy,angry,0.75,0.875,0.8287736,0.2591137
Male,happy,happy,0.875,0.875,0.73600435,0.7577755
Female,happy,sad,0.5,0.375,0.520637,0.34963614
Male,neutral,happy,0.375,0.625,0.56718546,0.6562975
Male,happy,happy,0.625,0.5,0.66563827,0.715051
Male,neutral,neutral,0.5,0.5,0.6111215,0.62100524
Female,happy,happy,0.75,0.75,0.8328533,0.65193564
Female,angry,surprise,0.5,0.25,0.81430054,0.48357743
Female,happy,happy,0.375,0.25,0.6750191,0.47943825
Male,neutral,happy,0.5,0.625,0.55217916,0.61463344
Male,happy,neutral,0.375,0.5,0.41350698,0.48919395
Male,sad,contempt,0.25,0.125,0.3180533,0.35780835
Female,neutral,sad,0.375,0.375,0.43406472,0.46156663
Male,happy,happy,0.5,0.625,0.611114,0.600337
Male,neutral,happy,0.375,0.75,0.5749073,0.6917389
Female,angry,angry,0.625,0.125,0.8329442,0.17611673
Male,happy,happy,0.625,0.75,0.6950974,0.7674894
Male,angry,surprise,0.5,0.375,0.65880144,0.5936136
Female,happy,happy,0.625,0.875,0.76218307,0.68331385
Female,happy,angry,0.625,0.75,0.59147954,0.2630714
Female,happy,happy,0.625,0.625,0.69683033,0.6690871
Female,angry,angry,0.875,0.25,0.74627227,0.27802372
Female,happy,neutral,0.75,0.625,0.56561613,0.54687893
Male,neutral,neutral,0.375,0.375,0.571341,0.5526652
Male,happy,contempt,0.5,0.375,0.45527038,0.4571454
Female,happy,happy,0.5,0.625,0.7200582,0.67192453
Female,neutral,neutral,0.25,0.5,0.4260604,0.54179794
Female,angry,angry,0.5,0.25,0.72181535,0.21492755
Male,angry,angry,0.625,0.25,0.7309632,0.27232763
Female,happy,angry,0.625,0.75,0.56567013,0.34047538
Female,happy,happy,0.625,0.875,0.8232898,0.85122836
Female,angry,angry,0.875,0.125,0.86748827,0.22879806
Female,happy,surprise,0.5,0.75,0.6984734,0.5408464
Male,sad,sad,0.5,0.25,0.41868916,0.28923666
Male,neutral,happy,0.375,0.625,0.4775072,0.6307893
Female,happy,sad,0.5,0.75,0.4579095,0.3010597
Female,angry,happy,0.5,0.375,0.62793916,0.5726868
Female,happy,sad,0.25,0.75,0.33513176,0.38669333
Female,sad,sad,0.5,0.25,0.5458476,0.38325444
Female,happy,neutral,0.625,0.625,0.63584346,0.62544
Male,sad,sad,0.375,0.25,0.4115032,0.23264554
Female,angry,angry,0.5,0.375,0.61514145,0.26026407
Female,neutral,angry,0.25,0.625,0.74054897,0.5289305
Male,happy,sad,0.5,0.625,0.45355555,0.32889205
Male,sad,sad,0.5,0.375,0.57975954,0.56509507
Female,happy,neutral,0.5,0.75,0.4817587,0.5482123
Male,neutral,happy,0.625,0.375,0.8007363,0.513112
Male,sad,sad,0.25,0.125,0.49668768,0.38841152
Male,angry,happy,0.5,0.375,0.6621929,0.70592004
Male,angry,angry,0.5,0.25,0.6432501,0.26646894
Female,happy,happy,0.75,0.75,0.7724261,0.7893722
Male,sad,sad,0.375,0.375,0.31273943,0.33219817
Female,happy,happy,0.625,0.625,0.801409,0.7500095
Female,angry,angry,0.5,0.33333325,0.62728405,0.2679215
Male,happy,surprise,0.375,0.375,0.51304024,0.5939149
Female,happy,happy,0.625,0.875,0.57962734,0.51047367
Female,happy,angry,0.625,0.375,0.53655994,0.47524616
Male,happy,angry,0.625,0.5,0.5239741,0.3325897
Female,happy,neutral,0.625,0.875,0.54515785,0.7253849
Female,angry,neutral,0.375,0.375,0.50957584,0.5786398
Male,happy,neutral,0.5,0.625,0.53854454,0.50407124
Female,neutral,happy,0.41666675,0.58333325,0.7450814,0.73426867
Female,happy,happy,0.75,1.0,0.76166373,0.6747105
Male,happy,happy,0.375,0.75,0.5865966,0.4935869
Male,neutral,neutral,0.375,0.625,0.52966076,0.62247515
Male,sad,sad,0.5,0.25,0.5174375,0.30291444
Female,happy,happy,0.625,0.75,0.7759144,0.82698137
Female,surprise,surprise,0.875,1.0,0.555649,0.5694195
Male,neutral,sad,0.33333325,0.41666675,0.34119216,0.44382924
Male,neutral,neutral,0.5,0.5,0.54235816,0.61768997
Male,sad,sad,0.5,0.375,0.37675503,0.43190715
Female,happy,sad,0.625,0.75,0.54438066,0.23130171
Female,happy,happy,0.625,0.25,0.77166873,0.7035549
Female,angry,angry,0.75,0.125,0.77433383,0.16933477
Male,neutral,neutral,0.375,0.625,0.4879375,0.60087115
Male,angry,angry,0.5,0.25,0.5566781,0.24915303
Male,happy,neutral,0.5,0.625,0.44860038,0.5064868
Female,happy,happy,0.625,0.5,0.7715229,0.7409134
Male,happy,angry,0.5,0.875,0.36731806,0.27460593
Male,happy,happy,0.5,0.5,0.5835841,0.5589505
Female,sad,sad,0.125,0.25,0.47270352,0.60042536
Female,happy,happy,0.5,0.75,0.6630867,0.68747526
Male,angry,angry,0.75,0.375,0.583944,0.21531507
Female,happy,happy,0.625,0.875,0.80499065,0.7742559
Male,happy,happy,0.625,0.625,0.6008813,0.52774966
Male,angry,angry,0.625,0.375,0.7612058,0.16039431
Female,happy,angry,0.875,1.0,0.8682898,0.46254107
Female,neutral,surprise,0.5,0.5,0.718507,0.6084877
Female,angry,angry,0.875,0.0,0.84091365,0.18760195
Female,happy,happy,0.75,0.875,0.77458125,0.79656154
Female,angry,angry,0.875,0.125,0.84307253,0.17036033
Male,happy,happy,0.375,0.625,0.7407774,0.7058071
Female,happy,happy,0.625,0.875,0.7835938,0.703163
Male,neutral,happy,0.5,0.5,0.6595864,0.65017456
Male,happy,happy,0.5,0.375,0.73275506,0.62906855
Male,neutral,contempt,0.375,0.75,0.2817604,0.418012
Female,happy,angry,0.625,0.75,0.74175566,0.49417543
Female,happy,happy,0.75,0.75,0.8793913,0.7530267
Male,happy,happy,0.875,0.875,0.8206011,0.8226396
Female,surprise,angry,0.875,1.0,0.8461213,0.1923101
Female,happy,surprise,0.375,0.5,0.7051835,0.5809948
Male,sad,sad,0.25,0.375,0.33125353,0.3877705
Male,happy,neutral,0.5,0.625,0.6533341,0.691986
Female,happy,neutral,0.625,0.625,0.58478093,0.48533675
Female,angry,neutral,0.5,0.25,0.57897735,0.5663941
Male,angry,angry,0.875,0.125,0.70367414,0.34153047
Male,sad,neutral,0.375,0.25,0.40726215,0.50698584
Male,happy,happy,0.75,0.625,0.5848673,0.5885045
Male,neutral,neutral,0.5,0.5,0.39637405,0.4339788
Male,neutral,happy,0.375,0.375,0.594255,0.64161927
Male,neutral,happy,0.5,0.625,0.6556197,0.71336776
Female,angry,angry,1.0,0.0,0.86799324,0.19330536
Male,happy,neutral,0.5,0.625,0.5111128,0.61803395
Male,happy,happy,0.5,0.75,0.68051434,0.8018547
Male,happy,surprise,0.625,0.75,0.6966196,0.74566716
Female,happy,happy,0.375,0.75,0.63100785,0.65727806
Male,happy,neutral,0.75,0.875,0.48179004,0.5876248
Female,happy,happy,0.625,0.875,0.83817476,0.78364134
Female,sad,sad,0.625,0.125,0.42036453,0.2823816
Male,neutral,sad,0.375,0.375,0.4536979,0.3555264
Female,angry,angry,0.875,0.125,0.87019444,0.18451048
Male,happy,happy,0.5,0.25,0.64109766,0.70025766
Female,angry,angry,0.625,0.25,0.6904876,0.33368063
Female,neutral,happy,0.33333325,0.58333325,0.6362273,0.63466525
Male,happy,happy,0.5,0.625,0.6973372,0.75779337
Female,sad,sad,0.25,0.5,0.27228212,0.33575547
Female,happy,happy,0.375,0.5,0.8274341,0.72723806
Female,happy,happy,0.75,0.875,0.81622976,0.8059653
Male,happy,angry,0.625,0.5,0.7142684,0.4366283
Male,neutral,happy,0.375,0.5,0.6367909,0.60979766
Female,happy,surprise,0.5,0.75,0.5399395,0.4722331
Female,angry,angry,0.75,0.125,0.8480063,0.24234904
Male,angry,surprise,0.875,0.375,0.6993397,0.66843015
Female,sad,surprise,0.375,0.125,0.64644355,0.49674952
Female,angry,angry,0.5,0.375,0.687976,0.28424376
Female,happy,surprise,0.625,0.625,0.7641671,0.7142371
Male,happy,neutral,0.75,0.625,0.562688,0.43606335
Male,happy,happy,0.5,0.5,0.6755072,0.39091736
Female,angry,happy,0.75,0.125,0.8016839,0.6416814
Male,happy,happy,0.5,0.875,0.7646559,0.81612
Female,happy,happy,0.75,0.75,0.8354485,0.8291456
Female,surprise,neutral,0.5,0.75,0.5081404,0.62659574
Male,happy,happy,0.75,0.75,0.7701279,0.7883023
Female,neutral,happy,0.25,0.75,0.7056677,0.73475236
Male,happy,happy,0.625,0.75,0.6189121,0.6937618
Female,happy,neutral,0.625,0.625,0.65346557,0.5144934
Female,sad,sad,0.25,0.125,0.5377765,0.32220948
Female,sad,angry,0.5,0.25,0.6722744,0.37669444
Male,happy,happy,0.625,0.75,0.7181708,0.78085494
Female,happy,happy,0.75,0.75,0.7854174,0.76690525
Male,happy,happy,0.375,0.625,0.6085434,0.50988334
Male,neutral,surprise,0.25,0.5,0.5556739,0.4842563
Male,neutral,surprise,0.5,0.375,0.73401576,0.54078275
Male,happy,happy,0.375,0.625,0.6619952,0.68195444
Male,happy,neutral,0.625,0.625,0.41346005,0.61709946
Male,happy,surprise,0.5,0.375,0.6555582,0.38650215
Male,angry,neutral,0.5,0.375,0.61161935,0.48829368
Male,neutral,happy,0.75,0.5,0.68794316,0.6234039
Male,happy,happy,0.5,0.75,0.6371748,0.6381762
Male,happy,happy,0.625,0.5,0.5754086,0.48032725
Male,sad,angry,0.125,0.375,0.4823437,0.2771641
Male,neutral,happy,0.5,0.375,0.52677065,0.55633587
Male,happy,happy,0.625,0.625,0.65843076,0.7082945
Male,happy,neutral,0.5,0.625,0.42197227,0.40469503
Female,happy,happy,0.5,0.75,0.84382653,0.78560656
Female,angry,happy,0.875,0.125,0.81810826,0.78444517
Male,sad,happy,0.5,0.25,0.562041,0.54038596
Female,happy,angry,0.375,0.75,0.6780738,0.39524314
Female,happy,happy,0.5,0.625,0.71076906,0.7470717
Male,surprise,happy,0.625,1.0,0.8305007,0.65651095
Male,happy,happy,0.625,0.625,0.62665814,0.5565813
Male,neutral,neutral,0.625,0.5,0.51241386,0.48181432
Female,angry,angry,0.625,0.25,0.5781094,0.34079084
Male,angry,happy,0.5,0.375,0.56341296,0.50078577
Female,happy,angry,0.75,0.875,0.75633824,0.2018691
Female,angry,angry,0.75,0.25,0.82394713,0.20453323
Male,happy,neutral,0.5,0.75,0.38854164,0.5450077
Female,happy,happy,0.5,0.75,0.6625944,0.66694194
Female,angry,angry,0.875,0.25,0.86647314,0.20690615
Female,sad,sad,0.25,0.25,0.3550188,0.32736164
Female,angry,angry,0.625,0.25,0.51492685,0.27495322
Male,happy,angry,0.625,0.25,0.68694174,0.19501461
Female,happy,happy,0.5,0.875,0.8317106,0.79881173
Female,happy,happy,0.625,0.75,0.746435,0.73181444
Male,neutral,sad,0.125,0.375,0.35990393,0.52612716
Male,neutral,angry,0.375,0.75,0.78670377,0.17898013
Female,happy,sad,0.5,0.75,0.52454877,0.40309113
Female,happy,surprise,0.375,0.75,0.49297884,0.5333034
Female,happy,happy,0.75,0.875,0.86904645,0.82557786
Male,happy,neutral,0.5,0.625,0.57025915,0.6009181
Female,happy,happy,0.625,0.875,0.8199317,0.83561146
Male,happy,neutral,0.375,0.25,0.5313128,0.6246419
Female,neutral,sad,0.25,0.5,0.25955826,0.314189
Female,happy,happy,0.75,0.875,0.8250554,0.8383331
Female,angry,angry,0.625,0.25,0.67592156,0.55755085
Male,angry,surprise,0.5,0.5,0.7495595,0.35436302
Female,happy,happy,0.5,0.75,0.6115052,0.7304976
Male,happy,happy,0.5,0.375,0.7190718,0.58668834
Female,sad,happy,0.625,0.125,0.71238863,0.49363995
Female,happy,happy,0.625,0.625,0.48198003,0.5756523
Female,sad,neutral,0.75,0.75,0.70379376,0.523549
Female,happy,happy,0.25,0.625,0.5836252,0.6015044
Male,happy,happy,0.625,0.625,0.54766405,0.4812368
Male,angry,angry,0.375,0.5,0.6195923,0.30626014
Male,neutral,happy,0.375,0.75,0.5827582,0.62336123
Female,happy,happy,0.625,0.75,0.5684909,0.6315282
Male,angry,angry,0.75,0.125,0.5623822,0.19048262
